request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 46956
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47002
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46980
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 46982
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 46956
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 46990
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47002
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46956
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46990
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46956
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 46982
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47002
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46956
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46980
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46990
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46990
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47002
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 46982
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47002
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 46982
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47002
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47002
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 46982
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47002
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47002
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46982
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46982
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46982
